Host and Port,Country,City,Note,State,Response(ms),Tested At,Updated At
103.145.76.44:80,BANGLADESH,,,Alive,347,2022-10-06 09:03:20.818,2022-10-06 09:12:48.423
164.92.75.10:80,UNITED STATES,,,Alive,1125,2022-10-06 09:02:41.655,2022-10-06 09:12:48.418
37.236.60.35:8080,IRAQ,,,Alive,1062,2022-10-06 09:05:35.477,2022-10-06 09:12:48.411
216.137.184.253:80,UNITED STATES,,,Alive,2937,2022-10-06 08:59:44.019,2022-10-06 09:12:48.412
37.235.48.19:80,POLAND,,,Alive,6332,2022-10-06 09:04:07.061,2022-10-06 09:12:48.411
113.252.11.250:8118,HONG KONG,,,Alive,460,2022-10-06 09:08:31.769,2022-10-06 09:12:48.421
37.236.59.107:80,IRAQ,,,Alive,1093,2022-10-06 09:03:24.354,2022-10-06 09:12:48.411
51.15.242.202:8888,FRANCE,,,Alive,898,2022-10-06 09:00:47.756,2022-10-06 09:12:48.409
141.95.54.20:80,FRANCE,,,Alive,574,2022-10-06 09:12:29.259,2022-10-06 09:12:48.419
37.236.60.35:80,IRAQ,,,Alive,1097,2022-10-06 09:02:06.001,2022-10-06 09:12:48.411
34.223.105.122:80,UNITED STATES,,,Testing,687,2022-10-06 09:00:47.254,2022-10-06 09:12:48.411
188.32.216.189:8081,RUSSIAN FEDERATION,,,Alive,671,2022-10-06 09:05:35.476,2022-10-06 09:12:48.415
103.149.162.195:80,GERMANY,,,Alive,238,2022-10-06 09:05:32.462,2022-10-06 09:12:48.423
47.57.188.208:80,HONG KONG,,,Alive,574,2022-10-06 08:59:31.473,2022-10-06 09:12:48.409
121.1.41.162:111,PHILIPPINES,,,Alive,394,2022-10-06 09:04:39.176,2022-10-06 09:12:48.420
128.199.234.76:8080,SINGAPORE,,,Alive,11180,2022-10-06 09:00:32.198,2022-10-06 09:12:48.420
51.79.177.171:3128,SINGAPORE,,,Alive,2984,2022-10-06 09:04:01.037,2022-10-06 09:12:48.408
92.60.190.22:50335,UKRAINE,,,Alive,9109,2022-10-06 09:05:03.796,2022-10-06 09:12:48.406
104.248.80.159:80,NETHERLANDS,,,Alive,8008,2022-10-06 09:04:22.139,2022-10-06 09:12:48.421
14.139.242.7:80,INDIA,,,Alive,742,2022-10-06 09:05:22.410,2022-10-06 09:12:48.419
37.110.106.26:8081,RUSSIAN FEDERATION,,,Alive,2945,2022-10-06 09:07:17.449,2022-10-06 09:12:48.411
